Classification	Coverage	CopyNumber	GenomeCoverage	GenomeSize	TE_Family_Count	Accession
SINE	11021	96	0.00131488259909471	838173690	1	HART038
SINE-nested	7102	4	0.000847318412010761	838173690	1	HART038
LTR	335737710	215045	40.0558636002998	838173690	496	HART038
LTR-nested	5113110	10151	0.610029885333194	838173690	344	HART038
Other (Simple Repeat, Microsatellite, RNA)	17954332	301836	2.14207773570177	838173690	6568	HART038
Other (Simple Repeat, Microsatellite, RNA)-nested	859563	17643	0.102551894703352	838173690	1136	HART038
Unclassified	177144363	494116	21.1345649611121	838173690	782	HART038
Unclassified-nested	2187885	11989	0.261030025888787	838173690	586	HART038
Total Interspersed Repeat	570469709	1068656	68.0610374443989	838173690	NA	HART038
Non-Repeat	267703981	notApplicable	31.9389625556011	838173690	NA	HART038
DNA	33785463	36357	4.22119446551754	800376843	88	HART046
DNA-nested	244772	1551	0.030582094189849	800376843	64	HART046
Rolling Circle	5306440	13685	0.66299269480489	800376843	18	HART046
Rolling Circle-nested	174378	821	0.021786987157998	800376843	14	HART046
Penelope	0	0	0	800376843	NA	HART046
Penelope-nested	0	0	0	800376843	NA	HART046
LINE	3492784	12094	0.436392435706689	800376843	45	HART046
LINE-nested	39554	368	0.00494192208906774	800376843	22	HART046
SINE	10209	92	0.00127552415956142	800376843	1	HART046
SINE-nested	3742	3	0.000467529768349382	800376843	1	HART046
LTR	306422563	203546	38.2847861829006	800376843	534	HART046
LTR-nested	3064215	6976	0.382846533704624	800376843	357	HART046
Other (Simple Repeat, Microsatellite, RNA)	23655761	299947	2.95557788895199	800376843	6456	HART046
Other (Simple Repeat, Microsatellite, RNA)-nested	1256084	16098	0.156936574438099	800376843	1091	HART046
Unclassified	162918776	470937	20.3552585791141	800376843	785	HART046
Unclassified-nested	1738526	10829	0.217213430798872	800376843	600	HART046
Total Interspersed Repeat	535591996	1036658	66.9174777711554	800376843	NA	HART046
Non-Repeat	264784847	notApplicable	33.0825222288446	800376843	NA	HART046
DNA	34478878	39742	4.36441304730473	790000342	77	HART049
DNA-nested	189770	1511	0.024021508588157	790000342	55	HART049
Rolling Circle	4166184	13019	0.527364834988894	790000342	18	HART049
Rolling Circle-nested	94047	730	0.0119046783906329	790000342	16	HART049
Penelope	0	0	0	790000342	NA	HART049
Penelope-nested	0	0	0	790000342	NA	HART049
LINE	3170915	8748	0.401381471807008	790000342	38	HART049
LINE-nested	72990	323	0.00923923650655837	790000342	13	HART049
SINE	42468	177	0.00537569387533253	790000342	1	HART049
SINE-nested	402	2	0.0000508860539202146	790000342	1	HART049
LTR	307461761	209853	38.9191934046023	790000342	545	HART049
LTR-nested	2994952	6926	0.37910768398123	790000342	391	HART049
Other (Simple Repeat, Microsatellite, RNA)	20211719	294380	2.55844433545828	790000342	6442	HART049
Other (Simple Repeat, Microsatellite, RNA)-nested	1052842	15200	0.133271081545937	790000342	1137	HART049
Unclassified	161354900	461020	20.4246620440071	790000342	799	HART049
Unclassified-nested	1817000	10550	0.229999900430423	790000342	589	HART049
Total Interspersed Repeat	530886825	1026939	67.2008348320437	790000342	NA	HART049
Non-Repeat	259113517	notApplicable	32.7991651679563	790000342	NA	HART049
DNA	32892003	37149	3.84459666668146	855538457	77	HART050
DNA-nested	266497	1726	0.0311496225353199	855538457	61	HART050
Rolling Circle	3576017	8225	0.417984366540288	855538457	18	HART050
Rolling Circle-nested	69243	503	0.0080934994135512	855538457	14	HART050
Penelope	0	0	0	855538457	NA	HART050
Penelope-nested	0	0	0	855538457	NA	HART050
LINE	2740788	8472	0.320358246619415	855538457	35	HART050
LINE-nested	37870	335	0.00442645210044602	855538457	13	HART050
SINE	14660	109	0.00171354073917451	855538457	1	HART050
SINE-nested	265	3	0.0000309746450123632	855538457	1	HART050
LTR	359334552	244871	42.0009818448173	855538457	523	HART050
LTR-nested	3835472	7997	0.448310881716449	855538457	356	HART050
Other (Simple Repeat, Microsatellite, RNA)	17545429	301548	2.05080541458348	855538457	6506	HART050
Other (Simple Repeat, Microsatellite, RNA)-nested	1078653	18470	0.126078844401965	855538457	1161	HART050
Unclassified	171021503	479537	19.9899258298333	855538457	783	HART050
Unclassified-nested	2063752	11573	0.241222587145489	855538457	595	HART050
Total Interspersed Repeat	587124952	1079911	68.6263659098144	855538457	NA	HART050
Non-Repeat	268413505	notApplicable	31.3736340901856	855538457	NA	HART050
DNA	32360992	33200	4.06239686970432	796598487	84	HART053
DNA-nested	159305	1091	0.0199981549801764	796598487	64	HART053
Rolling Circle	4446131	8813	0.558139523556489	796598487	17	HART053
Rolling Circle-nested	95933	454	0.0120428298026632	796598487	15	HART053
Penelope	0	0	0	796598487	NA	HART053
Penelope-nested	0	0	0	796598487	NA	HART053
LINE	2444815	6616	0.306906809377357	796598487	38	HART053
LINE-nested	13626	162	0.00171052295759633	796598487	13	HART053
SINE	9076	86	0.00113934436835053	796598487	1	HART053
SINE-nested	3485	1	0.000437485139235521	796598487	1	HART053
LTR	312578458	217248	39.2391478393556	796598487	558	HART053
LTR-nested	1993540	6314	0.250256563693423	796598487	404	HART053
Other (Simple Repeat, Microsatellite, RNA)	18245556	299285	2.29043317276599	796598487	6458	HART053
Other (Simple Repeat, Microsatellite, RNA)-nested	1004123	16218	0.126051331553684	796598487	1136	HART053
Unclassified	163627717	471867	20.5408018807849	796598487	801	HART053
Unclassified-nested	1950719	10957	0.244881082732963	796598487	603	HART053
Total Interspersed Repeat	533712745	1037115	66.998965439913	796598487	NA	HART053
Non-Repeat	262885742	notApplicable	33.001034560087	796598487	NA	HART053
DNA	34548924	40979	4.12130884367795	838299805	85	HART069
DNA-nested	200069	1531	0.023866043962637	838299805	59	HART069
Rolling Circle	3382501	5507	0.403495381941548	838299805	13	HART069
Rolling Circle-nested	65278	289	0.0077869515906663	838299805	7	HART069
Penelope	0	0	0	838299805	NA	HART069
Penelope-nested	0	0	0	838299805	NA	HART069
LINE	2766475	7959	0.330010216333046	838299805	42	HART069
LINE-nested	136152	246	0.0162414447895523	838299805	13	HART069
SINE	29116	152	0.00347322041903612	838299805	1	HART069
SINE-nested	156	1	0.0000186090941533739	838299805	1	HART069
LTR	352343886	239759	42.0307727496131	838299805	492	HART069
LTR-nested	3190356	8273	0.38057458453065	838299805	351	HART069
Other (Simple Repeat, Microsatellite, RNA)	18161195	300424	2.16643197238964	838299805	6527	HART069
Other (Simple Repeat, Microsatellite, RNA)-nested	1462224	17175	0.174427333905917	838299805	1150	HART069
Unclassified	158460402	462892	18.902593207689	838299805	747	HART069
Unclassified-nested	1756496	10191	0.209530765666825	838299805	573	HART069
Total Interspersed Repeat	569692499	1057672	67.9580855920633	838299805	NA	HART069
Non-Repeat	268607306	notApplicable	32.0419144079367	838299805	NA	HART069
DNA	38633299	50938	4.93033899550472	783583016	96	ZZ3
DNA-nested	245514	2052	0.0313322258123063	783583016	69	ZZ3
Rolling Circle	2939916	5194	0.375188836405306	783583016	17	ZZ3
Rolling Circle-nested	44058	234	0.00562263335222672	783583016	11	ZZ3
Penelope	0	0	0	783583016	NA	ZZ3
Penelope-nested	0	0	0	783583016	NA	ZZ3
LINE	3865016	12660	0.493249077772252	783583016	34	ZZ3
LINE-nested	70572	475	0.00900632078018393	783583016	16	ZZ3
SINE	12087	112	0.00154252960480195	783583016	1	ZZ3
SINE-nested	156	1	0.0000199085478902212	783583016	1	ZZ3
LTR	292508413	199886	37.329600951943	783583016	534	ZZ3
LTR-nested	1988023	5841	0.253709301938214	783583016	362	ZZ3
Other (Simple Repeat, Microsatellite, RNA)	16154066	296340	2.06156408065894	783583016	6430	ZZ3
Other (Simple Repeat, Microsatellite, RNA)-nested	982565	15006	0.125393861267662	783583016	1111	ZZ3
Unclassified	167228881	470342	21.3415652949783	783583016	818	ZZ3
Unclassified-nested	1617557	10627	0.206430839741427	783583016	618	ZZ3
Total Interspersed Repeat	521341678	1035472	66.5330497668673	783583016	NA	ZZ3
Non-Repeat	262241338	notApplicable	33.4669502331327	783583016	NA	ZZ3
DNA	35332845	44452	4.54035217435391	778196132	88	ZZ7
DNA-nested	197301	1706	0.0253536341144394	778196132	64	ZZ7
Rolling Circle	3125298	7819	0.401608010048552	778196132	19	ZZ7
Rolling Circle-nested	44480	307	0.00571578271478738	778196132	14	ZZ7
Penelope	0	0	0	778196132	NA	ZZ7
Penelope-nested	0	0	0	778196132	NA	ZZ7
LINE	3004751	9509	0.386117442177161	778196132	34	ZZ7
LINE-nested	26735	286	0.00343550923740649	778196132	11	ZZ7
SINE	11398	90	0.00146466932066427	778196132	1	ZZ7
SINE-nested	0	0	0	778196132	NA	ZZ7
LTR	300866944	206777	38.6620970765761	778196132	534	ZZ7
LTR-nested	3912510	9995	0.502766569906313	778196132	363	ZZ7
Other (Simple Repeat, Microsatellite, RNA)	15211119	301259	1.95466391755337	778196132	6458	ZZ7
Other (Simple Repeat, Microsatellite, RNA)-nested	1069361	16247	0.137415357906199	778196132	1146	ZZ7
Unclassified	158931143	466834	20.4230188849101	778196132	812	ZZ7
Unclassified-nested	1603286	10227	0.206025953364672	778196132	588	ZZ7
Total Interspersed Repeat	516483498	1036740	66.3693221749398	778196132	NA	ZZ7
Non-Repeat	261712634	notApplicable	33.6306778250602	778196132	NA	ZZ7
DNA	32661694	37434	4.1635070450655	784475531	80	ZZ9
DNA-nested	282140	1581	0.0359654302589076	784475531	60	ZZ9
Rolling Circle	3094908	7847	0.394519379853035	784475531	18	ZZ9
Rolling Circle-nested	69218	423	0.008823474699302	784475531	13	ZZ9
Penelope	0	0	0	784475531	NA	ZZ9
Penelope-nested	0	0	0	784475531	NA	ZZ9
LINE	3237294	9993	0.412669850374211	784475531	41	ZZ9
LINE-nested	47825	333	0.00609642979418819	784475531	16	ZZ9
SINE	47328	188	0.00603307536433536	784475531	1	ZZ9
SINE-nested	157	2	0.0000200133712009942	784475531	1	ZZ9
LTR	300215355	214442	38.2695626742244	784475531	550	ZZ9
LTR-nested	2170425	6288	0.276672109483553	784475531	384	ZZ9
Other (Simple Repeat, Microsatellite, RNA)	16939020	299051	2.15927958624882	784475531	6463	ZZ9
Other (Simple Repeat, Microsatellite, RNA)-nested	1146705	15536	0.146174731356917	784475531	1165	ZZ9
Unclassified	164462842	459216	20.964687297557	784475531	787	ZZ9
Unclassified-nested	1858858	10579	0.236955510598329	784475531	593	ZZ9
Total Interspersed Repeat	520658441	1028171	66.3702589086874	784475531	NA	ZZ9
Non-Repeat	263817090	notApplicable	33.6297410913126	784475531	NA	ZZ9
